id,name,population,employed,unemployed,underemployed,hectares,sqkm,year,class
33,Doongan,20866,"10,433","7,303","3,130",372.293,3.7229,2010,Rural
34,Dulag,912,456,319,137,1061.68,10.6168,2010,Rural
35,Dumalagan,2624,"1,312",918,394,912.928,9.1293,2010,Rural
36,Florida,21135,"10,568","7,397","3,170",5159.46,51.5946,2010,Rural
37,Golden Ribbon,11707,"5,854","4,097","1,756",42.189,0.4219,2010,Urban
38,Holy Redeemer,13091,"6,546","4,582","1,964",46.971,0.4697,2010,Urban
39,Humabon,2141,"1,071",749,321,4.685,0.0469,2010,Urban
40,Imadejas,2821,"1,411",987,423,62.919,0.6292,2010,Urban
41,J.P Rizal,19533,"9,767","6,837","2,930",55.048,0.5505,2010,Urban
42,Kinamlutan,13768,"6,884","4,819","2,065",797.615,7.9762,2010,Rural
43,Lapu-Lapu,2425,"1,213",849,364,11.53,0.1153,2010,Urban
44,Lemon,21706,"10,853","7,597","3,256",536.09,5.3609,2010,Rural
45,Leon Kilat,8087,"4,044","2,830","1,213",7.639,0.0764,2010,Urban
46,Libertad,10437,"5,219","3,653","1,566",759.249,7.5925,2010,Rural
47,Limaha,21295,"10,648","7,453","3,194",55.079,0.5508,2010,Urban
48,Los Angeles,17684,"8,842","6,189","2,653",1764.73,17.6473,2010,Rural
49,Lumbocan,5903,"2,952","2,066",885,522.695,5.227,2010,Rural
50,Maguinda,10721,"5,361","3,752","1,608",1628.34,16.2834,2010,Rural
51,Mahay,5356,"2,678","1,875",803,493.223,4.9322,2010,Rural
52,Mahogany,9236,"4,618","3,233","1,385",124.207,1.2421,2010,Urban
53,Maibu,20751,"10,376","7,263","3,113",900.901,9.009,2010,Rural
54,Mandamo,21135,"10,568","7,397","3,170",1954.75,19.5475,2010,Rural
55,Manila de Bugabus,5794,"2,897","2,028",869,2715.39,27.1539,2010,Rural
56,Maon,1295,648,453,194,76.544,0.7654,2010,Urban
57,Masao,20933,"10,467","7,327","3,140",892.246,8.9225,2010,Rural
58,Maug,11834,"5,917","4,142","1,775",418.755,4.1876,2010,Rural
59,New Society Village,5807,"2,904","2,032",871,5.319,0.0532,2010,Urban
60,Nong-nong,11987,"5,994","4,195","1,798",6826.03,68.2603,2010,Rural
61,Obrero,16992,"8,496","5,947","2,549",53.431,0.5343,2010,Urban
62,Ong Yiu,10430,"5,215","3,651","1,565",34.663,0.3466,2010,Urban
63,Pagatpatan,3901,"1,951","1,365",585,261.515,2.6152,2010,Rural
64,Pangabugan,13635,"6,818","4,772","2,045",42.826,0.4283,2010,Rural
65,Pianing,108,54,38,16,3478.37,34.7837,2010,Rural
66,Pigdaulan,8747,"4,374","3,061","1,312",1002.74,10.0274,2010,Rural
67,Pinamangculan,17523,"8,762","6,133","2,628",1053.28,10.5328,2010,Rural
68,Port Poyohon,19651,"9,826","6,878","2,948",44.6,0.446,2010,Urban
69,Rajah Soliman,2916,"1,458","1,021",437,5.366,0.0537,2010,Urban
70,Salvacion,2978,"1,489","1,042",447,770.197,7.702,2010,Rural
71,San Ignacio ,3691,"1,846","1,292",554,17.886,0.1789,2010,Urban
72,San Mateo,3767,"1,884","1,318",565,949.279,9.4928,2010,Rural
73,San Vicente,1327,664,464,199,455.124,4.5512,2010,Rural
74,Santo Ni?,12563,"6,282","4,397","1,884",1990.24,19.9024,2010,Rural
75,Sikatuna,7555,"3,778","2,644","1,133",7.899,0.079,2010,Urban
76,Silongan,3877,"1,939","1,357",582,6.296,0.063,2010,Urban
77,Sumile,15520,"7,760","5,432","2,328",1588.03,15.8803,2010,Rural
78,Sumilihon,11160,"5,580","3,906","1,674",852.11,8.5211,2010,Rural
79,Tagabaca,20240,"10,120","7,084","3,036",1046.27,10.4627,2010,Rural
80,Taguibo,21166,"10,583","7,408","3,175",683.851,6.8385,2010,Rural
81,Taligaman,10178,"5,089","3,562","1,527",462.013,4.6201,2010,Rural
82,Tandang Sora,20945,"10,473","7,331","3,142",36.475,0.3648,2010,Urban
83,Tiniwisan,3400,"1,700","1,190",510,578.532,5.7853,2010,Rural
84,Tungao,5243,"2,622","1,835",786,8569.37,85.6937,2010,Rural
85,Urduja,3385,"1,693","1,185",508,5.631,0.0563,2010,Urban
86,Villa Kananga,5702,"2,851","1,996",855,372.206,3.7221,2010,Rural
